"","link","nombre","direccion","localidad","provincia","pais","telefono","google_link","coordenadas","web_oficial"
"1","http://www.alternativateatral.com.ar/espacio6808-la-esquina-arte-y-cultura","LA ESQUINA ARTE Y CULTURA","Santa Fe 656","9 de Julio","Buenos Aires","Argentina","2317-15474585","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Santa+Fe+656%2C+9+de+Julio%2C+Argentina","0","NaN"
"2","http://www.alternativateatral.com.ar/espacio5094-casa-arenga","CASA ARENGA","Manzone 851","Acassuso","Buenos Aires","Argentina","47929804","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Manzone+851%2C+Acassuso%2C+Argentina","0","NaN"
"3","http://www.alternativateatral.com.ar/espacio6040-teatro-de-la-sociedad-espanola","TEATRO DE LA SOCIEDAD ESPAÑOLA","Av. San Martin 343","Adolfo Gonzales Chaves","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av%2E+San+Martin+343%2C+Adolfo+Gonzales+Chaves%2C+Argentina","0","NaN"
"4","http://www.alternativateatral.com.ar/espacio914-auditorio-suteba","AUDITORIO SUTEBA","Ferrari 512 (Esquina Canale)","Adrogué","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Ferrari+512+%28Esquina+Canale%29%2C+Adrogu%C3%A9%2C+Argentina","0","NaN"
"5","http://www.alternativateatral.com.ar/espacio7381-centro-de-jubilados-y-pensionados-10-de-septiembre","CENTRO DE JUBILADOS Y PENSIONADOS 10 DE SEPTIEMBRE","Vertyz 5748","Almirante Brown","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Vertyz+5748%2C+Almirante+Brown%2C+Argentina","0","NaN"
"6","http://www.alternativateatral.com.ar/espacio1385-academia-de-danzas-tans","ACADEMIA DE DANZAS TANS","Mitre 662","Avellaneda","Buenos Aires","Argentina","4222-6858","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Mitre+662%2C+Avellaneda%2C+Argentina","0","NaN"
"7","http://www.alternativateatral.com.ar/espacio3793-casa-espana","CASA ESPAÑA","San Martín 1225","Ayacucho","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=San+Mart%C3%ADn+1225%2C+Ayacucho%2C+Argentina","0","NaN"
"8","http://www.alternativateatral.com.ar/espacio3544-escuela-de-estetica","ESCUELA DE ESTÉTICA","Av. 25 de Mayo 520","Azul","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av%2E+25+de+Mayo+520%2C+Azul%2C+Argentina","0","NaN"
"9","http://www.alternativateatral.com.ar/espacio2664-alianza-francesa","ALIANZA FRANCESA","Fitz  Roy  49","Bahía Blanca","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Fitz++Roy++49%2C+Bah%C3%ADa+Blanca%2C+Argentina","0","NaN"
"10","http://www.alternativateatral.com.ar/espacio2012-paredon-amarillo","PAREDÓN AMARILLO","Juan Diaz de Solis 99","Bajo de San Isidro","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Juan+Diaz+de+Solis+99%2C+Bajo+de+San+Isidro%2C+Argentina","0","NaN"
"11","http://www.alternativateatral.com.ar/espacio6808-la-esquina-arte-y-cultura","LA ESQUINA ARTE Y CULTURA","Santa Fe 656","9 de Julio","Buenos Aires","Argentina","2317-15474585","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Santa+Fe+656%2C+9+de+Julio%2C+Argentina","0","NaN"
"12","http://www.alternativateatral.com.ar/espacio5094-casa-arenga","CASA ARENGA","Manzone 851","Acassuso","Buenos Aires","Argentina","47929804","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Manzone+851%2C+Acassuso%2C+Argentina","0","NaN"
"13","http://www.alternativateatral.com.ar/espacio6040-teatro-de-la-sociedad-espanola","TEATRO DE LA SOCIEDAD ESPAÑOLA","Av. San Martin 343","Adolfo Gonzales Chaves","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av%2E+San+Martin+343%2C+Adolfo+Gonzales+Chaves%2C+Argentina","0","NaN"
"14","http://www.alternativateatral.com.ar/espacio914-auditorio-suteba","AUDITORIO SUTEBA","Ferrari 512 (Esquina Canale)","Adrogué","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Ferrari+512+%28Esquina+Canale%29%2C+Adrogu%C3%A9%2C+Argentina","0","NaN"
"15","http://www.alternativateatral.com.ar/espacio7381-centro-de-jubilados-y-pensionados-10-de-septiembre","CENTRO DE JUBILADOS Y PENSIONADOS 10 DE SEPTIEMBRE","Vertyz 5748","Almirante Brown","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Vertyz+5748%2C+Almirante+Brown%2C+Argentina","0","NaN"
"16","http://www.alternativateatral.com.ar/espacio1385-academia-de-danzas-tans","ACADEMIA DE DANZAS TANS","Mitre 662","Avellaneda","Buenos Aires","Argentina","4222-6858","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Mitre+662%2C+Avellaneda%2C+Argentina","0","NaN"
"17","http://www.alternativateatral.com.ar/espacio3793-casa-espana","CASA ESPAÑA","San Martín 1225","Ayacucho","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=San+Mart%C3%ADn+1225%2C+Ayacucho%2C+Argentina","0","NaN"
